posting_date,document_date,cost_center,gl_account,amount,vendor,description
2023-05-01,2023-05-01,CC-ONCOR-PS,6010,5080.29,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-02,2023-05-02,CC-ONCOR-PS,6010,5667.18,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-03,2023-05-03,CC-ONCOR-PS,6010,5111.78,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-04,2023-05-04,CC-ONCOR-PS,6010,5075.82,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-05,2023-05-05,CC-ONCOR-PS,6010,5736.87,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-06,2023-05-06,CC-ONCOR-PS,6010,4646.5,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-07,2023-05-07,CC-ONCOR-PS,6010,4759.71,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-08,2023-05-08,CC-ONCOR-PS,6010,5134.23,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-09,2023-05-09,CC-ONCOR-PS,6010,5358.35,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-10,2023-05-10,CC-ONCOR-PS,6010,5235.78,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-11,2023-05-11,CC-ONCOR-PS,6010,5489.0,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-12,2023-05-12,CC-ONCOR-PS,6010,4838.35,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-13,2023-05-13,CC-ONCOR-PS,6010,4950.77,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-14,2023-05-14,CC-ONCOR-PS,6010,4991.31,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-15,2023-05-15,CC-ONCOR-PS,6010,5570.43,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-16,2023-05-16,CC-ONCOR-PS,6010,5066.06,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-17,2023-05-17,CC-ONCOR-PS,6010,5161.22,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-18,2023-05-18,CC-ONCOR-PS,6010,5204.79,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-19,2023-05-19,CC-ONCOR-PS,6010,4515.12,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-20,2023-05-20,CC-ONCOR-PS,6010,5080.03,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-21,2023-05-21,CC-ONCOR-PS,6010,4662.13,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-22,2023-05-22,CC-ONCOR-PS,6010,5062.53,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-23,2023-05-23,CC-ONCOR-PS,6010,5652.63,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-24,2023-05-24,CC-ONCOR-PS,6010,5344.79,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-25,2023-05-25,CC-ONCOR-PS,6010,5227.06,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-26,2023-05-26,CC-ONCOR-PS,6010,4951.96,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-27,2023-05-27,CC-ONCOR-PS,6010,5043.17,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-28,2023-05-28,CC-ONCOR-PS,6010,4470.32,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-29,2023-05-29,CC-ONCOR-PS,6010,5019.3,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-30,2023-05-30,CC-ONCOR-PS,6010,5574.89,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-31,2023-05-31,CC-ONCOR-PS,6010,5100.1,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-06-01,2023-06-01,CC-ONCOR-PS,6010,5144.83,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-02,2023-06-02,CC-ONCOR-PS,6010,5131.82,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-03,2023-06-03,CC-ONCOR-PS,6010,5209.57,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-04,2023-06-04,CC-ONCOR-PS,6010,4644.57,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-05,2023-06-05,CC-ONCOR-PS,6010,5154.45,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-06,2023-06-06,CC-ONCOR-PS,6010,5417.07,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-07,2023-06-07,CC-ONCOR-PS,6010,5435.65,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-08,2023-06-08,CC-ONCOR-PS,6010,5347.24,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-09,2023-06-09,CC-ONCOR-PS,6010,5584.19,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-10,2023-06-10,CC-ONCOR-PS,6010,4608.28,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-11,2023-06-11,CC-ONCOR-PS,6010,4834.51,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-12,2023-06-12,CC-ONCOR-PS,6010,5177.28,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-13,2023-06-13,CC-ONCOR-PS,6010,5497.63,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-14,2023-06-14,CC-ONCOR-PS,6010,5526.8,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-15,2023-06-15,CC-ONCOR-PS,6010,5245.04,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-16,2023-06-16,CC-ONCOR-PS,6010,5556.35,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-17,2023-06-17,CC-ONCOR-PS,6010,5034.34,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-18,2023-06-18,CC-ONCOR-PS,6010,5226.49,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-19,2023-06-19,CC-ONCOR-PS,6010,5414.69,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-20,2023-06-20,CC-ONCOR-PS,6010,5607.77,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-21,2023-06-21,CC-ONCOR-PS,6010,5445.11,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-22,2023-06-22,CC-ONCOR-PS,6010,5336.87,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-23,2023-06-23,CC-ONCOR-PS,6010,5235.48,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-24,2023-06-24,CC-ONCOR-PS,6010,4863.22,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-25,2023-06-25,CC-ONCOR-PS,6010,4928.0,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-26,2023-06-26,CC-ONCOR-PS,6010,5759.49,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-27,2023-06-27,CC-ONCOR-PS,6010,5565.53,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-28,2023-06-28,CC-ONCOR-PS,6010,5327.95,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-29,2023-06-29,CC-ONCOR-PS,6010,5744.81,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-30,2023-06-30,CC-ONCOR-PS,6010,5961.87,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-07-01,2023-07-01,CC-ONCOR-PS,6010,5160.28,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-02,2023-07-02,CC-ONCOR-PS,6010,5225.76,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-03,2023-07-03,CC-ONCOR-PS,6010,5882.89,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-04,2023-07-04,CC-ONCOR-PS,6010,5384.91,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-05,2023-07-05,CC-ONCOR-PS,6010,5764.65,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-06,2023-07-06,CC-ONCOR-PS,6010,5711.05,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-07,2023-07-07,CC-ONCOR-PS,6010,5707.4,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-08,2023-07-08,CC-ONCOR-PS,6010,4942.71,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-09,2023-07-09,CC-ONCOR-PS,6010,4994.56,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-10,2023-07-10,CC-ONCOR-PS,6010,5875.75,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-11,2023-07-11,CC-ONCOR-PS,6010,5073.17,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-12,2023-07-12,CC-ONCOR-PS,6010,5558.32,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-13,2023-07-13,CC-ONCOR-PS,6010,5016.39,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-14,2023-07-14,CC-ONCOR-PS,6010,5453.31,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-15,2023-07-15,CC-ONCOR-PS,6010,5085.38,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-16,2023-07-16,CC-ONCOR-PS,6010,4606.15,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-17,2023-07-17,CC-ONCOR-PS,6010,5305.7,SearchAds Media,Paid Search acquisition spend — 2023-07
