date,entity,region,service_territory,segment,product_type,contract_term_months,customer_size_tier,customer_class,reference_type,volume_in_ref,volume_converted_ref,cost_ref,cpa_ref,cogs_ref,ltv_ref,margin_ref
2023-05-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1727,1486,136675.05,92.0,38.0,180.0,36.0
2023-06-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1717,1477,135870.16,92.0,38.0,180.0,36.0
2023-07-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1782,1533,140991.84,92.0,38.0,180.0,36.0
2023-08-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1776,1527,140523.25,92.0,38.0,180.0,36.0
2023-09-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1665,1431,131696.82,92.0,38.0,180.0,36.0
2023-10-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1656,1424,130983.16,92.0,38.0,180.0,36.0
2023-11-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1542,1326,121984.05,92.0,38.0,180.0,36.0
2023-12-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1536,1321,121503.37,92.0,38.0,180.0,36.0
2024-01-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1528,1314,120904.85,92.0,38.0,180.0,36.0
2024-02-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1444,1241,114213.17,92.0,38.0,180.0,36.0
2024-03-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1584,1362,125326.08,92.0,38.0,180.0,36.0
2024-04-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1606,1381,127066.72,92.0,38.0,180.0,36.0
2024-05-01,ERCOT,North,Oncor,Web_Direct,Term,24,residential,single_family,plan,1727,1486,136675.05,92.0,38.0,180.0,36.0
2023-05-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1435,1263,123771.65,98.0,34.0,272.0,34.0
2023-06-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1411,1242,121723.64,98.0,34.0,272.0,34.0
2023-07-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1361,1198,117355.39,98.0,34.0,272.0,34.0
2023-08-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1476,1299,127256.54,98.0,34.0,272.0,34.0
2023-09-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1310,1153,113008.9,98.0,34.0,272.0,34.0
2023-10-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1320,1162,113836.8,98.0,34.0,272.0,34.0
2023-11-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1267,1115,109283.33,98.0,34.0,272.0,34.0
2023-12-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1173,1032,101134.05,98.0,34.0,272.0,34.0
2024-01-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1270,1117,109490.3,98.0,34.0,272.0,34.0
2024-02-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1173,1032,101134.05,98.0,34.0,272.0,34.0
2024-03-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1210,1064,104315.9,98.0,34.0,272.0,34.0
2024-04-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1320,1162,113836.8,98.0,34.0,272.0,34.0
2024-05-01,ERCOT,South,CenterPoint,Door_to_Door,Month_to_Month,,residential,multi_family,plan,1435,1263,123771.65,98.0,34.0,272.0,34.0
2023-05-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1148,976,107352.96,110.0,40.0,180.0,36.0
2023-06-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1129,960,105576.63,110.0,40.0,180.0,36.0
2023-07-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1089,925,101787.84,110.0,40.0,180.0,36.0
2023-08-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1180,1003,110375.57,110.0,40.0,180.0,36.0
2023-09-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1048,891,98017.92,110.0,40.0,180.0,36.0
2023-10-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1056,898,98736.0,110.0,40.0,180.0,36.0
2023-11-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1014,862,94786.56,110.0,40.0,180.0,36.0
2023-12-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,938,797,87718.31,110.0,40.0,180.0,36.0
2024-01-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1016,863,94966.08,110.0,40.0,180.0,36.0
2024-02-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,938,797,87718.31,110.0,40.0,180.0,36.0
2024-03-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,968,823,90478.08,110.0,40.0,180.0,36.0
